title,abstract,year,source,doi,url,citations,yield_percent,selectivity,temperature_c,stability_hours,paper_id,score,conversion,catalysts
Study of the influence of technological parameters on the output of hydrogen cyanide,,2019.0,CORE,10.20998/2413-4295.2019.05.14,https://core.ac.uk/download/200973646.pdf,0,,,,,ecb019c536053dd4313a5438b7c235d5,,,[]
Research of the influence of the composition of the initial gas mixture on the formation of hydrogen cyanide,,2018.0,CORE,10.20998/2079-0821.2018.39.05,https://core.ac.uk/download/185576521.pdf,0,,,,,08d8c77b15478c4f0cea4ced869e870b,,,[]
Sodium and Specialty Cyanides Production Facility,,2018.0,CORE,,https://core.ac.uk/download/219378328.pdf,0,,,,,77877811c467b103c60c118c31d6fd5b,,,[]
Changes in Pt-Rh catalysts in the working environment,,2015.0,CORE,10.5937/mmeb1504105t,https://core.ac.uk/download/614663168.pdf,0,,,,,ff329fd6f5ceaeb04a84bbf7ee3faf1b,,,"['pt', 'rh', 'ir', 'pt-rh']"
CHANGES IN Pt-Rh CATALYSTS IN THE WORKING ENVIRONMENT,,2020.0,CORE,,https://core.ac.uk/download/357546443.pdf,0,,,,,da4daa8e73798d5150964dce8783a883,,,"['pt', 'rh', 'ir', 'pt-rh']"
"Best Available Techniques (BAT) Reference Document for the Production of Large Volume Organic Chemicals. 
Industrial Emissions Directive 2010/75/EU (Integrated Pollution Prevention and Control)",,2017.0,CORE,10.2760/77304,https://core.ac.uk/download/146996572.pdf,0,,,,,c7c4aeb16f2e709ee304289a5fa2a49e,,,['ir']
Nickel(BiPhePhos)-catalyzed hydrocyanation of styrene - highly increased catalytic activity by optimized operational procedures,,2024.0,CORE,,https://core.ac.uk/download/613822083.pdf,0,,,,,212802e6d3f0487c300eece8b30b64e0,,,['pt']
Inherently safer technology gaps analysis study.,,2012.0,CORE,10.2172/1051729,https://core.ac.uk/download/71262696.pdf,0,,,,,219cc93ea3aec839316223d499117814,,,[]
Catalytic light alkanes selective conversion through ammonia-assisted reforming,,2021.0,CORE,,https://core.ac.uk/download/487620532.pdf,0,,,,,d374ef434ff2219aa09fbc1e31861adb,,,[]
Development of Analytical Methods for Toxic Inhaled Hazards (TIH) and Their Metabolites,,2020.0,CORE,,https://core.ac.uk/download/345017186.pdf,0,,,,,12e7e50df6612d2cb90deb038338f57c,,,['ir']
Identification of side reactions and byproducts in process synthesis,,1999.0,CORE,,https://core.ac.uk/download/429718923.pdf,0,,,,,fea8f4aa2bb722072fcc915863b752c4,,,[]
Process Intensification through Directly Coupled Autothermal Operation of Chemical Reactors,,2020.0,CORE,,https://core.ac.uk/download/668575600.pdf,0,,,,,d587849a62a33f25ed13041bc483b6f7,,,['ir']
Combination of chemo- and biocatalysis: Conversion of biomethane to methanol and formic acid,,2019.0,CORE,10.34657/9560,https://core.ac.uk/download/551596569.pdf,0,,,,,b75b4c34417a714e06b0fb3810554b5b,,,[]
Elementary reactions in the catalytic reduction of NO on rhodium surfaces,,1997.0,CORE,10.6100/ir497380,https://core.ac.uk/download/576948263.pdf,0,,,,,38d3e4442aeb5d78df3b8354d683cf45,,,"['rh', 'rhodium']"
Quantitative Chemical Mapping of Pt/Rh Gauze Catalysts for Ammonia Oxidation using Resonant X-ray Tomography,,2024.0,CORE,10.5445/ir/1000169605,https://core.ac.uk/download/604491764.pdf,0,,,,,d916525d15a2dd3c2f25cafbf304fb62,,,"['pt', 'rh', 'gauze']"
The activation and deactivation of platinum/rhodium catalysts for ammonia oxidation,,1976.0,CORE,,https://core.ac.uk/download/77000664.pdf,0,,,,,2f6f89b79c8bebab7b060058193fd2a0,,,"['rh', 'platinum', 'rhodium']"
Sodium and Specialty Cyanides Production Facility,,2018.0,CORE,,https://core.ac.uk/download/219378328.pdf,0,,,,,77877811c467b103c60c118c31d6fd5b,,,[]
Англо-русский словарь химико-технологических терминов : учебно-методическое пособие,,2015.0,CORE,,http://hdl.handle.net/10995/36053,0,,,,,7e789ded7a1abfb11f8c4c0c5d38990a,,,[]
Multi-scale Modelling of Structured Reactors,,2013.0,CORE,10.7939/r3409h,https://core.ac.uk/download/668346439.pdf,0,,,,,0497ea01cabda0f184f4ffee00197c22,,,[]
The oxidative reforming of methane to synthesis gas on a commercial steam reforming catalyst,,2023.0,CORE,,https://core.ac.uk/download/590322064.pdf,0,,,,,e8f27e2b43f495b157dcd74a14437398,,,[]
Clústeres y átomos aislados de platino como catalizadores para reacciones químicas de interés industrial,,2018.0,CORE,10.4995/thesis/10251/111827,https://riunet.upv.es/bitstream/handle/10251/111827/Rivero%20-%20Cl%c3%basteres%20y%20%c3%a1tomos%20aislados%20de%20platino%20como%20catalizadores%20para%20reacciones%20qu%c3%admicas%20de%20in....pdf?sequence=1&isAllowed=y,0,,,,,8a589987a68c01f23e4db45a06f4f32d,,,[]
Partial Oxidation of Methane to Syngas Over Noble Metal Catalysts Supported by Fecralloy Fibre,,2019.0,CORE,,https://core.ac.uk/download/213623154.pdf,0,,,,,85b23ca16c18802d22af71f5d5376f8e,,,[]
Intercalation of catalytically active metal complexes in mica-type silicates : rhodium hydroformylation catalysts,,1981.0,CORE,10.25335/9p3v-vx43,https://core.ac.uk/download/666624477.pdf,0,,,,,175651bf510cb38843079bc620699a3b,,,"['rh', 'rhodium']"
"Best Available Techniques (BAT) Reference Document for the Production of Large Volume Organic Chemicals. 
Industrial Emissions Directive 2010/75/EU (Integrated Pollution Prevention and Control)",,2017.0,CORE,10.2760/77304,https://core.ac.uk/download/146996572.pdf,0,,,,,c7c4aeb16f2e709ee304289a5fa2a49e,,,['ir']
"A comparative study of mixed metal oxide catalysts for the oxidation of C4, C6 and C8 linear alkanes.",,2007.0,CORE,,https://core.ac.uk/download/196544539.pdf,0,,,,,817a3ab19d7ccef315ee4ba75653696a,,,[]
Identification of side reactions and byproducts in process synthesis,,1999.0,CORE,,https://core.ac.uk/download/429718923.pdf,0,,,,,fea8f4aa2bb722072fcc915863b752c4,,,[]
Development of novel catalysts for the photocatalytic hydrogen formation,,2011.0,CORE,,https://core.ac.uk/download/224755528.pdf,0,,,,,074db0f1dfc4d39144be62ceca60093d,,,[]
Combustors based on addition and recirculation of energy,,1978.0,CORE,,https://core.ac.uk/download/77001391.pdf,0,,,,,93b95fcea13e10c1197fabb3316003af,,,['ir']
"Methane, Carbon Monoxide, and Ammonia in Brown Dwarfs and Self-Luminous
  Giant Planets",,2014.0,CORE,10.1088/0004-637x/797/1/41,https://core.ac.uk/download/pdf/189597261.pdf,0,,,,,5836eb943077a40442443c7d8c23134b,,,[]
Hydrothermal organic synthesis experiments,,,CORE,,https://core.ac.uk/download/pdf/42810491.pdf,0,,,,,cdbdf3560b6305c6e44193bcf6a32d82,,,[]
Mechanisms and modeling of the effects of additives on the nitrogen oxides emission,,,CORE,,https://core.ac.uk/download/pdf/42818452.pdf,0,,,,,afc2cd8fd981780c711619174d18d653,,,[]
The Atmospheric Chemistry of GJ 1214b: Photochemistry and Clouds,,2011.0,CORE,10.1088/0004-637x/745/1/3,http://arxiv.org/abs/1104.5477,0,,,,,3f7c227b22818968e3a6c64e3827af08,,,[]
On the abundance of non-cometary HCN on Jupiter,,2010.0,CORE,10.1039/c003954c,http://arxiv.org/abs/1006.3508,0,,,,,0fca8eef705daf788781f6f2f9f8f8d2,,,[]
Pathways to Meteoritic Glycine and Methylamine,,,CORE,,https://core.ac.uk/download/pdf/323104146.pdf,0,,,,,e5fb9f2fddbba2cc0fb6a2ba167cd465,,,[]
Giant planets: Clues on current and past organic chemistry in the outer solar system,,,CORE,,https://core.ac.uk/download/pdf/42809249.pdf,0,,,,,7b1fa116ec42d4abe96afbc45bd6fd9e,,,[]
INTEGRATING BIOMASS TO PRODUCE HEAT AND POWER AT ETHANOL PLANTS,,,CORE,,https://core.ac.uk/download/pdf/6407367.pdf,0,,,,,7a15a9f048ac3cdfe87afd840a022dca,,,[]
Origin of Life,,2012.0,CORE,10.1007/s10509-008-9876-6,http://arxiv.org/abs/0907.3552,0,,,,,bcc416753b42bf41ecf2a82caafb9e26,,,[]
"The Role of N2 as a Geo-Biosignature for the Detection and
  Characterization of Earth-like Habitats",,2019.0,CORE,10.1089/ast.2018.1914,https://core.ac.uk/download/264494675.pdf,0,,,,,b81061de7d1cb27d432a3f2a1a78dda4,,,[]
"Chemical evolution of turbulent protoplanetary disks and the Solar
  nebula",,2011.0,CORE,10.1088/0067-0049/196/2/25,http://arxiv.org/abs/1104.4358,0,,,,,8d79861c0dda90e6d073c9dea441840e,,,[]
Short-Lived Trace Gases in the Surface Ocean and the Atmosphere,,2013.0,CORE,10.1007/978-3-642-25643-1_1,https://core.ac.uk/download/19550101.pdf,0,,,,,2ce0953640af1f82ff00ad9a3f4912ab,,,[]
The faint young Sun problem,,2012.0,CORE,10.1029/2011rg000375,http://arxiv.org/abs/1204.4449,0,,,,,41e29b381a89f1b2f71105a898003de6,,,[]
"Disequilibrium Carbon, Oxygen, and Nitrogen Chemistry in the Atmospheres
  of HD 189733b and HD 209458b",,2011.0,CORE,10.1088/0004-637x/737/1/15,http://arxiv.org/abs/1102.0063,0,,,,,323df78a90ca62e6f79111121e1ec6a5,,,[]
Iridium–Bismuth cluster complexes yield bimetallic nano-catalysts for the direct oxidation of 3-picoline to niacin,,2013.0,CORE,10.1021/cs400880k,,0,,,,,4025417b59c5ecf5aae0d8ac6d64717c,,,['ir']
Ion and mixed conducting oxides as catalysts,,1992.0,CORE,10.1016/0920-5861(92)80046-p,https://core.ac.uk/download/pdf/11453360.pdf,0,,,,,21072e074be44d6a49fac0eddc39f367,,,[]
Selective Oxidations using Nanostructured Heterogeneous Catalysts,,2014.0,CORE,,https://core.ac.uk/download/43247284.pdf,0,,,,,0a56c7e143d6c5ed128dee632c458e63,,,[]
Effect of Dopants and Mechanochemical Treatment on Vanadium Phosphate Catalysts For Partial Oxidation of N-Butane to Maleic Anhydride,,2007.0,CORE,,https://core.ac.uk/download/42992235.pdf,0,,,,,7f4686bf907fdacb41062b480524070c,,,[]
Waste-derived activated carbons for control of nitrogen oxides,,2016.0,CORE,10.1680/jwarm.14.00021,https://core.ac.uk/download/83940831.pdf,0,,,,,4e9d6d355eb8c76fe5b8727bd7ba2051,,,[]
In situ ptychography during the annealing treatment of heterogeneous nanoporous gold catalysts,,2015.0,CORE,,https://core.ac.uk/download/43252244.pdf,0,,,,,52ab2a3f08242611f29237e5290b3653,,,['pt']
Kinetic modelling of heterogeneous catalytic systems,,2015.0,CORE,,https://core.ac.uk/download/29146627.pdf,0,,,,,fe92f2231480c334b56e2c8cd452c55d,,,[]
The oxidative ammonolysis of ethylene to acetonitrile over supported molybdenum catalysts,,1996.0,CORE,10.6100/ir469707,https://core.ac.uk/download/577012007.pdf,0,,,,,f4a2f67d3e3ced7f7e75a179b5bb57a2,,,[]
Selective Oxidation of Biomass-Derived Chemicals,,2017.0,CORE,,https://core.ac.uk/download/132703178.pdf,0,,,,,99343cd00c59e013db96363d9bc634f4,,,[]
Big data and deep data in scanning and electron microscopies: deriving functionality from multidimensional data sets,,2015.0,CORE,10.1186/s40679-015-0006-6,https://core.ac.uk/download/pdf/81812832.pdf,0,,,,,a44982c2df319e0d1b42ec31774aade4,,,[]
Catalytic Hydrodeoxygenation and Dehydration of Bioderived Oxygenates to Renewable Hydrocarbon Building Block Molecules: Enabling Renewable Carbon Fiber,,2017.0,CORE,,https://core.ac.uk/download/268795117.pdf,0,,,,,713449d39f4e55b68947bcbac4110f34,,,[]
Role of Precious Metal Catalysts,,2012.0,CORE,10.5772/34249,https://core.ac.uk/download/322405668.pdf,0,,,,,1ef051e77cde185ca096e9ce7ca26476,,,[]
Energy efficiency and GHG emissions: Prospective scenarios for the Chemical and Petrochemical Industry,,2017.0,CORE,10.2760/630308,https://core.ac.uk/download/84886580.pdf,0,,,,,dab74436435c272b7cee53fa09b2b671,,,[]
The Mechanism of Alkane Selective Oxidation by the M1 Phase of Mo–V–Nb–Te Mixed Metal Oxides: Suggestions for Improved Catalysts,,2016.0,CORE,,https://core.ac.uk/download/216244604.pdf,0,,,,,792004252e5dec46adabf585ad6f41c3,,,[]
In-situ synthesis optimization and scale-up procedure of zeolitic coatings on molybdenum substrate,,2005.0,CORE,,https://core.ac.uk/download/577467292.pdf,0,,,,,17fd79f00ca3ffe6facfccdf8bedd18b,,,['pt']
Comparison of C═C bond hydrogenation in C-4 unsaturated nitriles over Pt/alumina,,2016.0,CORE,10.1021/acs.iecr.5b04047,https://core.ac.uk/download/46558795.pdf,0,,,,,8c9e02dba2fa8fc3129b592ac477a577,,,['pt']
Negative effects of cyanide on health and its removal options from industrial wastewater,,2015.0,CORE,,https://core.ac.uk/download/143844463.pdf,0,,,,,6ce35ef646dfb22652db1c9708660c13,,,['pt']
Atmospheric Research and Monitoring Study of Hazardous Substances,,1985.0,CORE,,https://core.ac.uk/download/4812338.pdf,0,,,,,a881b6d7f4dbdffdb4c222d41049f418,,,[]
Advances in bioleaching as a sustainable method for metal recovery from e-waste:A review,,2019.0,CORE,10.1016/j.jiec.2019.03.047,https://core.ac.uk/download/228157777.pdf,0,,,,,e8375b7825c30b39cd10e622cbd29a7c,,,[]
Study of the influence of technological parameters on the output of hydrogen cyanide,,2019.0,CORE,10.20998/2413-4295.2019.05.14,https://core.ac.uk/download/200973646.pdf,0,,,,,ecb019c536053dd4313a5438b7c235d5,,,[]
On the abundance of non-cometary HCN on Jupiter,,2010.0,CORE,10.1039/c003954c,http://arxiv.org/abs/1006.3508,0,,,,,0fca8eef705daf788781f6f2f9f8f8d2,,,[]
"Gold 2003: Highlights of this International Conference on the Science, Technology and Industrial Applications of Gold, Vancouver 28 September – 1 October 2003",,,CORE,10.1007/bf03215505,https://core.ac.uk/download/pdf/81776585.pdf,0,,,,,78ebd79ba8606e5471ab6e65c17ec573,,,['pt']
Research of the influence of the composition of the initial gas mixture on the formation of hydrogen cyanide,,2018.0,CORE,10.20998/2079-0821.2018.39.05,https://core.ac.uk/download/185576521.pdf,0,,,,,08d8c77b15478c4f0cea4ced869e870b,,,[]
Biological Remediation of Cyanide: a Review,,2015.0,CORE,,https://media.neliti.com/media/publications/61533-EN-biological-remediation-of-cyanide-a-revi.pdf,0,,,,,8e9b389c2472475a681fb4f4150f39cb,,,[]
Nitrido Zeolites. A Novel and Promising Class of Compounds,,1994.0,CORE,10.5282/ubm/epub.3949,https://core.ac.uk/download/12164828.pdf,0,,,,,6f993c9b745b970ee010e415471d9681,,,[]
Isolation of Cyanide Hydratase Mutants from Gloeocerospora Sorghi at alkaline pH,,2013.0,CORE,,https://core.ac.uk/download/13643406.pdf,0,,,,,dec340daca8212de004918d78f6ce5c2,,,[]
Visible light responsive titanium dioxide (TiO<inf>2</inf>),,2008.0,CORE,,https://opus.lib.uts.edu.au/bitstream/10453/9199/1/2008005324.pdf,0,,,,,f2935b3d888038a1620531e6a1b0c161,,,[]
Bases of inorganic and organic chemistry,,2016.0,CORE,,https://core.ac.uk/download/287921144.pdf,0,,,,,dfba53a4b42656465cdd3ff08c01cc73,,,[]
Polyoxometalate (POM)-layered double hydroxides (LDH) composite materials: design and catalytic applications,,2017.0,CORE,10.3390/catal7090260,https://core.ac.uk/download/96883278.pdf,0,,,,,30916b8315c24ebe26aa81f41a49a0ac,,,[]
"Materials Balance for Bromine, Chlorine, Sulfur, and Nitrogen in Europe",,1988.0,CORE,,https://core.ac.uk/download/33894603.pdf,0,,,,,d93896d2cec673f3e2dc9784ee24d5d0,,,[]
